,water_availability_gw[MCM]
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.008596147798964948
10,0.00824892453304256
11,0.005014089002523385
12,0.0031125820823893835
13,0.0018089506703213645
14,1.005632984576327e-05
15,0.010101898053182163
16,0.012898955661570559
17,0.012898955661570559
18,0.012898955661570559
19,0.012652667958910067
20,0.011769320358282886
21,0.004232395450642473
22,0.00037065392931434865
23,0.010560343912607593
24,0.012898955661570559
25,0.012898955661570559
26,0.012898955661570559
27,0.012898955661570559
28,0.012898955661570559
29,0.012898955661570559
30,0.011853865686296384
31,0.006540348941862471
32,0.0011252151756396779
33,0.011015638592970067
34,0.012898955661570559
35,0.012898955661570559
36,0.012898955661570559
37,0.012898955661570559
38,0.012898955661570559
39,0.012898955661570559
40,0.012898955661570559
41,0.012898955661570559
42,0.01128943302089572
43,0.00204608719006799
44,0.01147068888253634
45,0.012898955661570559
46,0.012898955661570559
47,0.012648502139852257
48,0.0090003164970377
49,0.00938198435756265
50,0.012565424540015337
51,0.012898955661570559
52,0.012898955661570559
53,0.012898955661570559
54,0.005094558657575041
55,0.011982527577170244
56,0.012898955661570559
57,0.012898955661570559
58,0.004382256118649967
59,0.0
60,0.0
61,0.0012140179964736744
62,0.007793403933169023
63,0.012842451622159117
64,0.012898955661570559
65,0.008543207041550767
66,1.202101816902765e-06
67,0.012594769785930979
68,0.012898955661570559
69,0.012898955661570559
70,0.005125409224886609
71,0.0
72,0.0
73,0.0
74,0.0
75,0.004185153020137837
76,0.012325873679595685
77,0.012796753626872628
78,0.0077751338377162055
79,0.003254015727596054
80,0.00015359880892542544
81,0.0003151724971139829
82,0.012898955661570559
83,0.012898955661570559
84,0.00801802004976938
85,0.0004787846921071649
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0008255882289637181
92,0.0036719571346062203
93,0.007587581549689302
94,0.010445792129096675
95,0.007579341817202378
96,0.0016459935816144308
97,0.00011933872083601784
98,0.0009134178393086002
99,0.01274094046728827
100,0.0101502393297779
101,0.0016614954958219304
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.005525697533128086
113,0.010777395783998882
114,0.012115405833150428
115,0.006871463691834606
116,0.0007373569550120334
117,0.0014094221330836238
118,0.007393521280305662
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.002607522727349412
132,0.0012805664537832474
133,0.007615370595419337
134,0.012898955661570559
135,0.007578008948831516
136,1.331786885281277e-05
137,0.0017698293239844683
138,1.0587369123067885e-05
139,0.0002944449846019774
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0064572473195757705
155,0.011956376466537206
156,0.012898955661570559
157,0.010835474951252666
158,0.012397000301445379
159,0.0072531976553472
160,0.0009100288848409069
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0022693494013294236
179,0.006237604723760683
180,0.012303978681211138
181,0.012898955661570559
182,0.012898955661570559
183,0.011847554720532756
184,0.0036505857226938067
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
201,0.0
202,0.0
203,0.005630065784704042
204,0.011380541097421468
205,0.0060037992763623624
206,0.012898955661570559
207,0.012898955661570559
208,0.012898955661570559
209,0.012721964916472399
210,0.009184646965488366
211,0.0027633601788186438
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.0
224,0.0
225,0.0
226,0.0
227,0.0
228,0.0
229,0.0
230,0.0
231,0.0
232,0.00016205998081927762
233,9.321626778412156e-05
234,0.002637953487444003
235,0.010412172621266928
236,0.012898955661570559
237,0.012898955661570559
238,0.012898955661570559
239,0.012898955661570559
240,0.012540287416598144
241,0.005219393984446415
242,0.0
243,0.0010971044598149984
244,0.0005617846467843265
245,0.0
246,0.0
247,0.0
248,0.0
249,0.0
250,0.0
251,0.0
252,0.0
253,0.0
254,0.0
255,0.0
256,0.0
257,0.0
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.003299952670476524
266,0.012898955661570559
267,0.012898955661570559
268,0.012898955661570559
269,0.012898955661570559
270,0.012898955661570559
271,0.012898829645980332
272,0.008284311431718884
273,0.0019121551663089172
274,0.006078491043412022
275,0.0
276,0.0
277,0.0
278,0.0
279,0.0
280,0.0
281,0.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,0.006666344607884894
296,0.011548513949415824
297,0.012898955661570559
298,0.012898955661570559
299,0.012898955661570559
300,0.012898955661570559
301,0.012898955661570559
302,0.012898955661570559
303,0.012679778902014717
304,0.01284975571180067
305,0.0023929037390026
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.0
319,0.0
320,0.0
321,0.0
322,0.0
323,0.0
324,0.0
325,0.0
326,0.007643571538730468
327,0.009171483583480878
328,0.012898955661570559
329,0.012898955661570559
330,0.012898955661570559
331,0.012898955661570559
332,0.012898955661570559
333,0.012898955661570559
334,0.012898955661570559
335,0.012898955661570559
336,0.010385436049660966
337,0.002011993354658011
338,0.0
339,0.0
340,0.0
341,0.0
342,0.0
343,0.0
344,0.0
345,0.0
346,0.0
347,0.0
348,0.0
349,0.0
350,0.0
351,0.0
352,0.0
353,0.0
354,0.0
355,0.0
356,0.0
357,0.0
358,0.004449506483713637
359,0.012751780951795738
360,0.012898955661570559
361,0.012898955661570559
362,0.012898955661570559
363,0.012898955661570559
364,0.012898955661570559
365,0.012898955661570559
366,0.012898955661570559
367,0.012898955661570559
368,0.012898955661570559
369,0.01154109909321846
370,0.0019462611166510414
371,0.0
372,0.0
373,0.0
374,0.0
375,0.0
376,0.0
377,0.0
378,0.0
379,0.0
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,0.0
392,0.005713595272680842
393,0.012798823922127708
394,0.012898955661570559
395,0.012898955661570559
396,0.012898955661570559
397,0.012898955661570559
398,0.012898955661570559
399,0.012898955661570559
400,0.012898955661570559
401,0.012898955661570559
402,0.012898955661570559
403,0.011384169072621565
