# Renewables.ninja Solar photovoltaic power (PV) (Point API) - 34.640, -4.854 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in Africa/Casablanca, electricity in kW, irradiance_direct in unknown, irradiance_diffuse in unknown, temperature in ºC
"# {""units"": {""time"": ""UTC"", ""local_time"": ""Africa/Casablanca"", ""electricity"": ""kW"", ""irradiance_direct"": ""unknown"", ""irradiance_diffuse"": ""unknown"", ""temperature"": ""\u00baC""}, ""params"": {""local_time"": ""true"", ""header"": ""true"", ""lat"": ""34.640106251485896"", ""lon"": ""-4.854171963455769"", ""date_from"": ""2019-01-01"", ""date_to"": ""2019-12-31"", ""dataset"": ""merra2"", ""capacity"": ""1"", ""system_loss"": ""0.1"", ""tracking"": ""0"", ""tilt"": ""35"", ""azim"": ""180"", ""raw"": ""true""}}"
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature
2019-01-01 00:00,2019-01-01 01:00,0,0,0,4.764
2019-01-01 01:00,2019-01-01 02:00,0,0,0,4.400
2019-01-01 02:00,2019-01-01 03:00,0,0,0,4.266
2019-01-01 03:00,2019-01-01 04:00,0,0,0,4.228
2019-01-01 04:00,2019-01-01 05:00,0,0,0,4.281
2019-01-01 05:00,2019-01-01 06:00,0,0,0,4.376
2019-01-01 06:00,2019-01-01 07:00,0,0,0,4.619
2019-01-01 07:00,2019-01-01 08:00,0.024,0.029,0.009,4.976
2019-01-01 08:00,2019-01-01 09:00,0.336,0.328,0.045,7.357
2019-01-01 09:00,2019-01-01 10:00,0.564,0.600,0.054,10.932
2019-01-01 10:00,2019-01-01 11:00,0.698,0.784,0.060,13.454
2019-01-01 11:00,2019-01-01 12:00,0.762,0.889,0.065,16.299
2019-01-01 12:00,2019-01-01 13:00,0.770,0.908,0.067,17.949
2019-01-01 13:00,2019-01-01 14:00,0.727,0.848,0.066,18.775
2019-01-01 14:00,2019-01-01 15:00,0.628,0.708,0.061,18.649
2019-01-01 15:00,2019-01-01 16:00,0.457,0.484,0.055,17.572
2019-01-01 16:00,2019-01-01 17:00,0.202,0.197,0.039,14.563
2019-01-01 17:00,2019-01-01 18:00,0,0.001,0.001,11.736
2019-01-01 18:00,2019-01-01 19:00,0,0,0,10.850
2019-01-01 19:00,2019-01-01 20:00,0,0,0,10.470
2019-01-01 20:00,2019-01-01 21:00,0,0,0,10.224
2019-01-01 21:00,2019-01-01 22:00,0,0,0,9.892
2019-01-01 22:00,2019-01-01 23:00,0,0,0,9.462
2019-01-01 23:00,2019-01-02 00:00,0,0,0,8.706
2019-01-02 00:00,2019-01-02 01:00,0,0,0,8.350
2019-01-02 01:00,2019-01-02 02:00,0,0,0,8.146
2019-01-02 02:00,2019-01-02 03:00,0,0,0,8.104
2019-01-02 03:00,2019-01-02 04:00,0,0,0,8.050
2019-01-02 04:00,2019-01-02 05:00,0,0,0,7.979
2019-01-02 05:00,2019-01-02 06:00,0,0,0,7.879
2019-01-02 06:00,2019-01-02 07:00,0,0,0,7.760
2019-01-02 07:00,2019-01-02 08:00,0.006,0.007,0.009,7.682
2019-01-02 08:00,2019-01-02 09:00,0.136,0.087,0.073,8.667
2019-01-02 09:00,2019-01-02 10:00,0.362,0.297,0.113,10.799
2019-01-02 10:00,2019-01-02 11:00,0.579,0.576,0.105,13.386
2019-01-02 11:00,2019-01-02 12:00,0.696,0.756,0.094,15.200
2019-01-02 12:00,2019-01-02 13:00,0.730,0.816,0.089,16.057
2019-01-02 13:00,2019-01-02 14:00,0.696,0.772,0.084,16.341
2019-01-02 14:00,2019-01-02 15:00,0.600,0.643,0.077,16.124
2019-01-02 15:00,2019-01-02 16:00,0.434,0.439,0.066,15.386
2019-01-02 16:00,2019-01-02 17:00,0.186,0.174,0.043,12.880
2019-01-02 17:00,2019-01-02 18:00,0,0.001,0.001,10.010
2019-01-02 18:00,2019-01-02 19:00,0,0,0,9.115
2019-01-02 19:00,2019-01-02 20:00,0,0,0,8.522
2019-01-02 20:00,2019-01-02 21:00,0,0,0,8.046
2019-01-02 21:00,2019-01-02 22:00,0,0,0,7.814
2019-01-02 22:00,2019-01-02 23:00,0,0,0,7.441
2019-01-02 23:00,2019-01-03 00:00,0,0,0,6.948
2019-01-03 00:00,2019-01-03 01:00,0,0,0,6.536
2019-01-03 01:00,2019-01-03 02:00,0,0,0,6.089
2019-01-03 02:00,2019-01-03 03:00,0,0,0,5.483
2019-01-03 03:00,2019-01-03 04:00,0,0,0,5.165
2019-01-03 04:00,2019-01-03 05:00,0,0,0,4.911
2019-01-03 05:00,2019-01-03 06:00,0,0,0,4.350
2019-01-03 06:00,2019-01-03 07:00,0,0,0,3.754
2019-01-03 07:00,2019-01-03 08:00,0.030,0.036,0.009,3.456
2019-01-03 08:00,2019-01-03 09:00,0.350,0.343,0.044,6.007
2019-01-03 09:00,2019-01-03 10:00,0.566,0.595,0.055,9.245
2019-01-03 10:00,2019-01-03 11:00,0.697,0.775,0.062,12.393
2019-01-03 11:00,2019-01-03 12:00,0.764,0.879,0.067,14.487
2019-01-03 12:00,2019-01-03 13:00,0.775,0.900,0.069,15.747
2019-01-03 13:00,2019-01-03 14:00,0.731,0.839,0.068,16.387
2019-01-03 14:00,2019-01-03 15:00,0.629,0.697,0.063,16.350
2019-01-03 15:00,2019-01-03 16:00,0.458,0.478,0.056,15.578
