,water_availability_gw[MCM]
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.008596147798964946
10,0.008248924533042558
11,0.0050140890025233845
12,0.0031125820823893827
13,0.0018089506703213643
14,1.0056329845763269e-05
15,0.010101898053182162
16,0.012898955661570557
17,0.012898955661570557
18,0.012898955661570557
19,0.012652667958910065
20,0.011769320358282884
21,0.004232395450642472
22,0.0003706539293143486
23,0.010560343912607592
24,0.012898955661570557
25,0.012898955661570557
26,0.012898955661570557
27,0.012898955661570557
28,0.012898955661570557
29,0.012898955661570557
30,0.01185386568629638
31,0.0065403489418624705
32,0.0011252151756396777
33,0.011015638592970065
34,0.012898955661570557
35,0.012898955661570557
36,0.012898955661570557
37,0.012898955661570557
38,0.012898955661570557
39,0.012898955661570557
40,0.012898955661570557
41,0.012898955661570557
42,0.011289433020895717
43,0.0020460871900679894
44,0.011470688882536339
45,0.012898955661570557
46,0.012898955661570557
47,0.012648502139852255
48,0.009000316497037699
49,0.009381984357562649
50,0.012565424540015335
51,0.012898955661570557
52,0.012898955661570557
53,0.012898955661570557
54,0.0050945586575750395
55,0.01198252757717024
56,0.012898955661570557
57,0.012898955661570557
58,0.004382256118649966
59,0.0
60,0.0
61,0.0012140179964736742
62,0.007793403933169022
63,0.012842451622159114
64,0.012898955661570557
65,0.008543207041550765
66,1.2021018169027647e-06
67,0.012594769785930977
68,0.012898955661570557
69,0.012898955661570557
70,0.0051254092248866085
71,0.0
72,0.0
73,0.0
74,0.0
75,0.004185153020137836
76,0.012325873679595683
77,0.012796753626872624
78,0.007775133837716204
79,0.003254015727596053
80,0.0001535988089254254
81,0.00031517249711398286
82,0.012898955661570557
83,0.012898955661570557
84,0.008018020049769379
85,0.00047878469210716477
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0008255882289637179
92,0.00367195713460622
93,0.0075875815496893005
94,0.010445792129096673
95,0.007579341817202376
96,0.0016459935816144306
97,0.00011933872083601782
98,0.0009134178393086
99,0.012740940467288268
100,0.010150239329777898
101,0.0016614954958219302
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.005525697533128085
113,0.010777395783998878
114,0.012115405833150425
115,0.006871463691834604
116,0.0007373569550120333
117,0.0014094221330836234
118,0.00739352128030566
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0026075227273494113
132,0.0012805664537832472
133,0.007615370595419335
134,0.012898955661570557
135,0.007578008948831514
136,1.3317868852812767e-05
137,0.0017698293239844678
138,1.0587369123067883e-05
139,0.00029444498460197736
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.006457247319575769
155,0.011956376466537204
156,0.012898955661570557
157,0.010835474951252665
158,0.012397000301445376
159,0.007253197655347199
160,0.0009100288848409067
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.002269349401329423
179,0.006237604723760682
180,0.012303978681211136
181,0.012898955661570557
182,0.012898955661570557
183,0.011847554720532755
184,0.0036505857226938063
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
201,0.0
202,0.0
203,0.005630065784704041
204,0.011380541097421464
205,0.006003799276362361
206,0.012898955661570557
207,0.012898955661570557
208,0.012898955661570557
209,0.012721964916472397
210,0.009184646965488364
211,0.0027633601788186433
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.0
224,0.0
225,0.0
226,0.0
227,0.0
228,0.0
229,0.0
230,0.0
231,0.0
232,0.0001620599808192776
233,9.321626778412155e-05
234,0.0026379534874440024
235,0.010412172621266926
236,0.012898955661570557
237,0.012898955661570557
238,0.012898955661570557
239,0.012898955661570557
240,0.012540287416598142
241,0.005219393984446414
242,0.0
243,0.0010971044598149981
244,0.0005617846467843264
245,0.0
246,0.0
247,0.0
248,0.0
249,0.0
250,0.0
251,0.0
252,0.0
253,0.0
254,0.0
255,0.0
256,0.0
257,0.0
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0032999526704765234
266,0.012898955661570557
267,0.012898955661570557
268,0.012898955661570557
269,0.012898955661570557
270,0.012898955661570557
271,0.01289882964598033
272,0.008284311431718882
273,0.001912155166308917
274,0.006078491043412021
275,0.0
276,0.0
277,0.0
278,0.0
279,0.0
280,0.0
281,0.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,0.006666344607884892
296,0.011548513949415822
297,0.012898955661570557
298,0.012898955661570557
299,0.012898955661570557
300,0.012898955661570557
301,0.012898955661570557
302,0.012898955661570557
303,0.012679778902014714
304,0.012849755711800666
305,0.0023929037390025996
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.0
319,0.0
320,0.0
321,0.0
322,0.0
323,0.0
324,0.0
325,0.0
326,0.0076435715387304665
327,0.009171483583480876
328,0.012898955661570557
329,0.012898955661570557
330,0.012898955661570557
331,0.012898955661570557
332,0.012898955661570557
333,0.012898955661570557
334,0.012898955661570557
335,0.012898955661570557
336,0.010385436049660964
337,0.0020119933546580105
338,0.0
339,0.0
340,0.0
341,0.0
342,0.0
343,0.0
344,0.0
345,0.0
346,0.0
347,0.0
348,0.0
349,0.0
350,0.0
351,0.0
352,0.0
353,0.0
354,0.0
355,0.0
356,0.0
357,0.0
358,0.004449506483713636
359,0.012751780951795737
360,0.012898955661570557
361,0.012898955661570557
362,0.012898955661570557
363,0.012898955661570557
364,0.012898955661570557
365,0.012898955661570557
366,0.012898955661570557
367,0.012898955661570557
368,0.012898955661570557
369,0.011541099093218456
370,0.001946261116651041
371,0.0
372,0.0
373,0.0
374,0.0
375,0.0
376,0.0
377,0.0
378,0.0
379,0.0
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,0.0
392,0.005713595272680841
393,0.012798823922127707
394,0.012898955661570557
395,0.012898955661570557
396,0.012898955661570557
397,0.012898955661570557
398,0.012898955661570557
399,0.012898955661570557
400,0.012898955661570557
401,0.012898955661570557
402,0.012898955661570557
