,water_availability_sw[MCM]
0,0.021137725495684975
1,0.0228687415609527
2,0.03513622456498117
3,0.049262147149998874
4,0.028656792783557185
5,0.005761324680112047
6,0.013280661933059936
7,0.057644022819748134
8,0.08456763981743215
9,0.10321034808367166
10,0.08407090407817877
11,0.048098867638888675
12,0.028261563912759937
13,0.020241441444423462
14,2.1597206054494343e-06
15,0.1044934920883843
16,0.11699206519719586
17,0.12436724109972999
18,0.14237013213660513
19,0.13142196845743057
20,0.11269395122727581
21,0.042851556462873586
22,0.0028600100117664134
23,0.08401205169168027
24,0.11357025786293692
25,0.11002183690818348
26,0.121440819679346
27,0.12086417427769103
28,0.13521605763105388
29,0.12701262887632989
30,0.10703791292667941
31,0.06936752619627902
32,0.010475724796732483
33,0.09949886822320682
34,0.1085100324843689
35,0.11372170827039406
36,0.12286785506939674
37,0.11366339581404693
38,0.12544440175169788
39,0.1069377558836017
40,0.12708416962138538
41,0.12865509639677417
42,0.1145326833577403
43,0.021672256345533714
44,0.09841792806017936
45,0.12096001187955782
46,0.10723552736207805
47,0.11850386962101048
48,0.11459720501082812
49,0.12077238615195941
50,0.11507126368372426
51,0.11747854226357335
52,0.14750081839992593
53,0.1607137190989899
54,0.07904901374035747
55,0.11353489243802267
56,0.11772556030782164
57,0.12434051455723756
58,0.1338918789348377
59,0.12299149907405871
60,0.12144189953964873
61,0.13253854401044796
62,0.12756686717670335
63,0.13673677090236594
64,0.1264127664781663
65,0.07273615041062878
66,1.513962005012154e-06
67,0.10483553783927237
68,0.11601020221694341
69,0.11847552328806393
70,0.10577393644234014
71,0.11207033190245229
72,0.12663980710681416
73,0.12560449104157684
74,0.13155290151913596
75,0.11856380186781168
76,0.1340363102503271
77,0.1285927344642918
78,0.08323509220386983
79,0.025068416997602948
80,0.0013789816065794638
81,0.0019610263097480864
82,0.09339603772235806
83,0.09339279814144989
84,0.09707080233253028
85,0.1204913525081753
86,0.1423315271307827
87,0.11019461455661944
88,0.1222914796328174
89,0.10735836147151297
90,0.12443797194955848
91,0.12287649395181853
92,0.13306011653666397
93,0.13359302759605862
94,0.12226232340464384
95,0.06482158428688364
96,0.0169675749716378
97,0.0003193686845308351
98,0.004514625960616361
99,0.0992637286422885
100,0.15625956531532612
101,0.1342217762573201
102,0.15124847358053206
103,0.0864357981411459
104,0.09262879697727215
105,0.11801955227523843
106,0.10410555227463046
107,0.1121861469199195
108,0.09565375565027977
109,0.10030444400903944
110,0.11179064808404658
111,0.10666266147148257
112,0.12737897148402924
113,0.1361366385391267
114,0.1046641100162148
115,0.06957026996811559
116,0.018804687311648225
117,0.00860972619362417
118,0.09922026426510383
119,0.13401390314904557
120,0.1380531206113874
121,0.09334744400873546
122,0.11578316158829553
123,0.10746445774625567
124,0.09990435576687993
125,0.1273209289927578
126,0.10013733562719279
127,0.08999042829263999
128,0.107426932600736
129,0.13586505367299143
130,0.1029887067565374
131,0.13781366158925817
132,0.11191699173946536
133,0.11541708894567186
134,0.15517781525707164
135,0.10455369430026121
136,6.0472176952584163e-05
137,0.016915471712031335
138,0.03508439127045038
139,0.13789870058809775
140,0.14862819255597054
141,0.17844502526972975
142,0.07709392666227438
143,0.09348782584808966
144,0.12999466310230418
145,0.09562486938718189
146,0.13716412561716926
147,0.12771264831757118
148,0.09792767148274233
149,0.11654554296201919
150,0.11671049162326039
151,0.12841617730479632
152,0.14445669220654497
153,0.17242642387249354
154,0.12113359942322083
155,0.1300103210766937
156,0.12231874610546122
157,0.10150551863074501
158,0.10733595437023144
159,0.06423656996788253
160,0.007432408498578547
161,0.01931897078082087
162,0.1097707693878
163,0.14584674238122736
164,0.14998908650247936
165,0.1060142053596964
166,0.08025197811759281
167,0.13182286659481712
168,0.12824339965636036
169,0.10815583830507518
170,0.09376427008558719
171,0.07981571455529202
172,0.10458447031888886
173,0.10516651502205748
174,0.16555014342981822
175,0.1345041597264826
176,0.1287274470370567
177,0.10486496403252162
178,0.13622923656008532
179,0.15028658801588002
180,0.12211573236854896
181,0.128181037723878
182,0.12381003318352404
183,0.11462528137869896
184,0.03546153248117699
185,0.00048080779978818027
186,0.024953411875362763
187,0.1533693192150834
188,0.16559468766730562
189,0.16271200058918198
190,0.1105982123447628
191,0.09874755541758609
192,0.11153040175108993
193,0.10082439674480138
194,0.1204627362101531
195,0.10263910198353028
196,0.09034381257670665
197,0.11736110745565204
198,0.1573297068753263
199,0.12978948964478648
200,0.10710891374158356
201,0.15938468103141143
202,0.10483958731540757
203,0.1806792562360672
204,0.1293721236377834
205,0.1424605704369583
206,0.12180203295060743
207,0.1342916972119215
208,0.10782594098259278
209,0.11884294575606603
210,0.09465839441624327
211,0.02921265087438473
212,0.021617183470094753
213,0.03405204482104555
214,0.0009300296857216627
215,0.029643785100247576
216,0.15187857206717192
217,0.17964852957711644
218,0.10969139965554973
219,0.12592035018012382
220,0.09779133911952335
221,0.09515863970148049
222,0.08981333120299313
223,0.11204873469639778
224,0.10596048230963584
225,0.15869357043766763
226,0.11902841176305899
227,0.13394101257861166
228,0.0964836282929237
229,0.11585983166978898
230,0.14045607975002555
231,0.12989558591952918
232,0.16127254680564992
233,0.10249791024894903
234,0.1599948021024509
235,0.1384245925555247
236,0.13878850547754293
237,0.1567058175854271
238,0.11369579162312865
239,0.12476543958635973
240,0.12816510978441284
241,0.04755488801139109
242,0.003486598952422431
243,0.019961217695866396
244,0.005291585448426795
245,0.046899952737788554
246,0.11928703830556157
247,0.14004600280006585
248,0.08695899045781602
249,0.12219402224049651
250,0.13171650035499874
251,0.09006844819951185
252,0.08415810279762378
253,0.14452931281190318
254,0.10735755157628595
255,0.11158547462652887
256,0.12626320582623893
257,0.08439405227376914
258,0.07894696694174999
259,0.13200482305582625
260,0.14341030757320472
261,0.16483203632850627
262,0.1320080626367344
263,0.10902836542967674
264,0.13966049267199313
265,0.13243595728168908
266,0.14848565099601088
267,0.13666900966836998
268,0.12144108964442168
269,0.12985752084385813
270,0.11331676065687228
271,0.13229152596619967
272,0.07244431816381743
273,0.010780785332252215
274,0.04660731059575016
275,0.05922817788384528
276,0.09593208964330706
277,0.08950476112148956
278,0.08543476764052009
279,0.09577362014388222
280,0.14777051351053144
281,0.08228265541686663
282,0.11184437113410714
283,0.15540107637465997
284,0.11480345832864854
285,0.09364737520781724
286,0.11373304680357266
287,0.1133280991900509
288,0.07812033388001421
289,0.09269412852558699
290,0.14665663760827088
291,0.16782999849394578
292,0.10949432515030247
293,0.10392845518498359
294,0.13850099267194246
295,0.1516453222417834
296,0.15130786589718193
297,0.14612453644410328
298,0.14389894436018766
299,0.13735283120507039
300,0.14153243050676642
301,0.11918823108786226
302,0.12242025297391734
303,0.1113411562330374
304,0.13364405099536236
305,0.026950073575100767
306,0.05539953318053481
307,0.13849667323073156
308,0.07817540675545318
309,0.07676915867622991
310,0.09466838312404346
311,0.09947322154101709
312,0.07301826391471561
313,0.09937009488210688
314,0.09794521921266162
315,0.14176703015753336
316,0.11733627066868936
317,0.14199083120527306
318,0.1037691757903317
319,0.07863299755873278
320,0.07793459790794556
321,0.13227721781718854
322,0.15407986729427628
